exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2,
th_1,950.401,950.401,950.401,950.401,0,Mbps,,,,,,,
th_2,475.204,475.204,475.204,475.204,0,Mbps,475.204,475.204,475.204,475.204,0,Mbps,
th_3,950.401,950.401,950.401,950.401,0,Mbps,,,,,,,
th_4,475.204,475.204,475.204,475.204,0,Mbps,475.204,475.204,475.204,475.204,0,Mbps,
th_5,475.204,475.204,475.204,475.204,0,Mbps,475.204,475.204,475.204,475.204,0,Mbps,
afct_1,4.63619,4.63619,4.63619,4.63619,0,Seconds,,,,,,,
afct_2,9.27216,9.27216,9.27216,9.27216,0,Seconds,9.27231,9.27231,9.27231,9.27231,0,Seconds,
afct_3,4.63619,4.63619,4.63619,4.63619,0,Seconds,,,,,,,
afct_4,9.27216,9.27216,9.27216,9.27216,0,Seconds,9.27231,9.27231,9.27231,9.27231,0,Seconds,
afct_5,9.27216,9.27216,9.27216,9.27216,0,Seconds,9.27231,9.27231,9.27231,9.27231,0,Seconds,
